Type,Eccentricity,Solidity,Extent,Equivalent_diameter,Convex_hull,CircleRatio,Mean,Variance,Median,Mode,Vertical_symmetry,Horizontal_symmetry,Minimal_distance,Maximal_distance,Length_ratio,Peaks_number,Valleys_number,Average_peak_width,Average_peak_height,Minimal_peak,Average_valley_width,Average_valley_height,Maximal_valley
"Acer platanoides",1.4432,0.58141,0.51537,0.69289,1641,4.4679,833.49,26286,869.17,478.08,1.0072,0.94687,0.46572,1.3519,9.2557,25,257.18,170.22,702.35,25,200.09,147.52,-388.17
"Acer platanoides",1.424,0.5976,0.53915,0.70227,1524.4,4.2718,775.17,22011,801.52,371.6,0.94786,0.94924,0.47574,1.3723,9.0465,26,222.83,147.8,678.91,27,180.45,134.21,-368.78
"Acer platanoides",1.3843,0.67459,0.55279,0.72237,1692.7,4.3854,853.26,30047,880.95,1033.5,1.0039,0.9305,0.47367,1.3659,9.0459,26,254.57,162.12,524.07,26,202.88,140.82,-404.16
"Acer platanoides",1.4005,0.6737,0.54496,0.71401,1684.2,3.2156,865.8,26190,878.52,710.35,0.99765,0.93193,0.5424,1.3728,8.6052,27,267.12,156.65,710.9,27,184.5,130.84,-469.6
"Acer platanoides",1.4251,0.6903,0.53652,0.70172,1544.9,4.357,788.32,25754,806.3,392.41,1.0117,0.9138,0.46944,1.397,8.5164,22,293.28,165.66,722.62,23,194.83,139.47,-370.07
"Acer platanoides",1.44,0.68885,0.53581,0.69444,1433.8,4.5122,733.99,23464,751.86,804.23,1.0053,0.91126,0.45982,1.3862,8.4369,22,256.86,154.76,475.8,22,184.14,135.46,-337.5
"Acer platanoides",1.4428,0.63393,0.51176,0.6931,1628.3,4.1893,831.37,26725,856.25,1006.1,0.98764,0.89903,0.47844,1.4013,8.4461,22,300.75,175.83,718.52,22,213.67,150.96,-397.76
"Acer platanoides",1.4006,0.60528,0.5484,0.71399,1811.2,3.1655,927.46,25149,948.86,877.59,1.0079,0.95437,0.54879,1.3478,8.812,24,291.69,185.59,813.53,24,226.38,160.73,-508.99
"Acer platanoides",1.4288,0.70121,0.52701,0.69987,1371.4,4.8897,707.28,22191,724.46,446.33,0.97735,0.90642,0.43843,1.403,8.2907,21,243.51,154.02,647.91,21,183.7,136.46,-310.09
"Acer platanoides",1.4073,0.65344,0.54493,0.71057,1203.2,3.7425,613.36,13071,619.42,607.26,1.0013,0.93541,0.50701,1.4178,8.291,23,189.22,120.25,536.94,24,140.83,100.45,-310.98
"Acer platanoides",1.4041,0.72842,0.54056,0.71219,1535.9,4.804,790.02,27547,807.6,515.59,0.97693,0.92373,0.44351,1.3801,8.5611,22,286.58,161.11,648.15,23,203.94,140.17,-350.38
"Acer platanoides",1.5027,0.50358,0.48361,0.66548,1396.7,3.658,729.61,14157,744.49,424.63,1.0285,0.95292,0.50046,1.3791,8.7488,18,252.69,180.36,626.66,19,239.88,154.69,-365.14
"Acer platanoides",1.4071,0.55507,0.53158,0.7107,1607.9,3.7411,819.25,19550,837.03,485.71,1.0055,0.92182,0.50735,1.3762,9.3497,23,276.3,173.56,650.04,23,229.17,159.71,-415.64
"Acer platanoides",1.407,0.58789,0.52349,0.71071,1713.5,3.0843,864.35,25951,883.62,730.09,0.99481,0.98868,0.56439,1.3721,8.0766,24,243.33,154.47,642.78,25,199.33,136.19,-487.84
"Acer platanoides",1.3735,0.58945,0.51946,0.72807,992.7,2.7781,506.85,8061.1,514.3,513.77,1.0422,0.99035,0.58753,1.3935,6.4195,18,136.89,90.954,472.86,18,131.58,79.409,-297.79
"Acer platanoides",1.4816,0.47727,0.50524,0.67494,1087.1,2.7954,563.17,8745.3,572.78,580.24,1.028,0.98811,0.57724,1.3649,7.4312,19,169.19,117.19,423.41,19,152.17,102.14,-325.09
"Acer platanoides",1.8194,0.50447,0.33874,0.54962,1801.9,6.4772,1008.7,102590,970.91,699.41,0.81666,0.77084,0.35095,2.0453,6.7789,22,332.56,241.98,700.22,23,273.11,213.86,-354.01
"Acer platanoides",1.4529,0.3261,0.48689,0.68827,1292.6,3.2854,659.9,13201,668.69,729.11,0.97507,0.96869,0.54033,1.3477,8.4458,21,192.19,149.58,538.39,22,166.92,120.34,-356.57
"Acer platanoides",1.4409,0.62956,0.5154,0.69403,1324.8,5.5776,675.03,19606,705.11,829.9,1.0171,0.92872,0.41551,1.4004,8.4176,19,261.8,170.97,630.91,20,182.19,139.52,-280.48
"Acer platanoides",1.5201,0.55875,0.48987,0.65787,1345.3,3.1228,695.28,15282,713.68,606.24,1.0037,0.9835,0.54746,1.3416,8.4647,18,273.99,179.7,535.26,19,199.48,143.94,-380.64
"Acer platanoides",1.3909,0.5217,0.54842,0.71896,1156.1,3.8735,591.96,9274.2,608.22,576.14,0.9578,0.94763,0.49617,1.3431,8.4909,26,156.47,104.52,542.29,25,132.31,97.34,-293.72
"Acer platanoides",1.3379,0.65995,0.56409,0.74742,1259.9,3.9383,641.23,13634,660.27,609.06,0.99299,0.92336,0.49503,1.3309,8.3839,28,177.9,98.955,610.01,29,118.29,85.59,-317.43
"Acer platanoides",1.4688,0.56407,0.51336,0.68083,982.01,3.0474,508.41,7734.6,520.36,514.03,0.9794,0.98776,0.55323,1.3419,7.7234,15,186.05,140.3,424.72,14,168.77,126.38,-281.27
"Acer platanoides",1.3843,0.59801,0.52721,0.72236,1251.4,6.6726,629.19,17529,646.53,257.08,0.95732,0.89171,0.38497,1.4407,8.2471,21,234.46,144.93,603.72,22,156.46,120.34,-242.22
"Acer platanoides",1.3633,0.66017,0.56375,0.73351,1329,3.0827,682.62,13470,700.15,821.24,0.99274,0.9647,0.55441,1.2929,8.387,27,192,107.26,578.09,28,134.19,91.265,-378.46
"Acer platanoides",1.4153,0.64451,0.52856,0.70654,357.3,4.7405,182.2,1540.7,183.42,169.24,0.96856,0.90566,0.45033,1.4854,7.0461,17,57.799,42.507,159.94,16,54.497,39.014,-82.052
"Acer platanoides",1.3758,0.68758,0.56298,0.72686,269.01,2.3729,140.03,619.35,140.06,135.27,0.99512,0.95668,0.62358,1.3413,6.6287,15,36.559,28.548,123.08,14,44.575,25.199,-87.318
"Acer platanoides",1.3694,0.68894,0.54706,0.73027,262.37,2.3981,135.85,577.24,135.68,95.211,0.99703,0.96263,0.62357,1.3501,6.6951,22,26.619,19.313,89.806,21,30.553,16.83,-84.714
"Acer platanoides",1.3726,0.69258,0.56541,0.72857,246.17,2.4271,127.94,530.94,128.37,112.39,0.99559,0.9576,0.6175,1.3511,6.5599,16,37.489,24.474,113.12,15,37.85,21.491,-79.005
"Acer platanoides",1.3854,0.69223,0.51782,0.72179,243.83,2.4034,127.17,506.13,127.37,110.58,0.99529,0.95956,0.6184,1.3503,6.5516,15,39.28,26.11,111.99,16,37.851,20.254,-78.639
"Acer platanoides",1.3574,0.71419,0.53329,0.73669,248.61,2.3686,131.24,604.5,133.48,182.83,0.98413,0.95587,0.61543,1.3988,6.4607,12,49.666,34.241,116.83,11,51.081,28.769,-80.768
"Acer platanoides",1.3459,0.71894,0.56074,0.74301,255.87,2.3212,134.35,631.33,136.26,102.38,1.0111,0.96732,0.62503,1.4154,6.6156,19,31.013,22.46,118.49,18,33.387,18.352,-83.973
"Acer platanoides",1.3426,0.71542,0.50606,0.74483,269.21,2.3773,141.68,679.52,143.99,139.6,0.99105,0.95769,0.61617,1.3355,6.5848,13,64.608,33.075,94.266,12,50.526,28.236,-87.301
"Acer platanoides",1.3448,0.72147,0.54376,0.74362,251.72,2.3878,132.52,634.45,134.81,127.45,1.0069,0.94955,0.61461,1.4109,6.3214,12,48.012,34.131,114.8,13,43.717,24.346,-81.449
"Acer platanoides",1.4407,0.73143,0.47425,0.69411,202.69,3.0033,106.62,456.6,109.67,102.46,0.99322,0.95615,0.54848,1.3982,6.4863,11,55.03,32.228,94.296,11,43.062,25.869,-58.48
"Acer platanoides",1.4399,0.73045,0.51183,0.69451,217.29,2.8727,114.97,507.98,117.58,155.29,0.99209,0.96208,0.55756,1.3841,6.517,12,54.659,32.13,102.45,11,44.639,27.617,-64.101
"Acer platanoides",1.3883,0.66413,0.53675,0.72028,258.42,2.4438,135.09,547.33,136.33,123.46,1.0036,0.96038,0.61183,1.326,6.8163,13,45.731,32.377,124.57,12,45.606,30.515,-82.655
"Acer platanoides",1.3962,0.6694,0.50625,0.71626,263.17,2.4388,138.69,589.03,140.13,105.9,1.0105,0.95779,0.60756,1.3626,6.6146,15,40.173,29.231,107.26,15,40.453,25.223,-84.259
"Acer platanoides",1.4058,0.66897,0.53798,0.71132,259.73,2.4733,136.64,578.15,138.19,123.11,1.0035,0.95955,0.60431,1.3592,6.6818,12,50.06,35.906,123.34,13,43.476,28.653,-82.575
"Acer platanoides",1.3789,0.6701,0.48678,0.72523,259.69,2.4778,136.22,554.56,137.99,121.96,1.0042,0.95803,0.60553,1.3385,6.4497,13,42.948,31.51,124.21,12,44.76,29.421,-82.488
"Acer platanoides",1.3423,0.67695,0.5532,0.74498,245.53,2.5635,128.37,472.4,128.78,118.26,0.97508,0.97797,0.5973,1.3415,6.5384,13,43.671,29.872,120.31,12,43.156,27.027,-76.676
"Acer platanoides",1.3452,0.6765,0.47256,0.74337,272.21,2.5604,143.19,583.29,144.1,130.1,0.97705,0.97767,0.59402,1.3347,6.42,12,52.076,35.514,132.81,11,51.452,32.283,-85.059
"Acer platanoides",1.3486,0.67865,0.53725,0.74151,269.36,2.5543,141.26,590.4,142.04,129.76,1.0224,0.97398,0.59654,1.3518,6.4935,13,48.163,32.739,130.6,14,41.306,25.403,-84.269
"Acer platanoides",1.3711,0.68677,0.53039,0.72935,256.56,2.1865,134.75,531.74,135.48,125.56,0.98873,0.96318,0.64382,1.3937,6.3529,16,32.23,26.415,125.92,16,38.47,21.097,-86.752
"Acer platanoides",1.3719,0.68716,0.49726,0.72893,244.18,2.1642,128.08,477.43,128.4,114.12,1.007,0.96618,0.64795,1.4019,6.2486,16,29.359,25.047,115.18,16,36.423,19.842,-82.993
"Acer platanoides",1.3808,0.68626,0.47032,0.72421,247.62,2.1717,130.26,503.38,130.77,122.49,0.98106,0.95777,0.64501,1.4051,6.1688,14,33.823,28.996,121.42,13,44.894,24.514,-84.016
"Acer platanoides",1.3729,0.69473,0.52611,0.72841,254.22,2.1748,134.01,553.32,134.84,125.94,1.0094,0.95896,0.6432,1.4096,6.2258,15,33.801,27.712,122.86,15,40.041,21.701,-86.193
"Acer platanoides",1.4142,0.66661,0.46356,0.70712,188.6,2.5279,99.294,307.23,100.99,88.712,1.0198,0.9562,0.59732,1.3498,6.7002,13,33.156,24.254,87.531,12,35.741,21.93,-59.31
"Acer platanoides",1.4117,0.67154,0.54092,0.70837,184.91,2.4499,96.714,288.76,98.399,66.478,0.97567,0.96554,0.61076,1.3491,6.7366,13,31.487,23.691,85.648,13,33.066,19.937,-59.07
"Acer platanoides",1.4048,0.66829,0.49924,0.71187,183.61,2.5422,96.314,296.57,98.122,96.657,1.0159,0.95162,0.59782,1.3553,6.5804,13,31.005,23.228,84.98,12,35.089,20.835,-57.578
